Date,BTC,ETH,USDT,DOT,XRP,ADA,LINK,LTC,BCH,BNB
2016-06-08,581.64501953125,14.417699813842773,1.0,0.0,0.005770440213382244,0.0,0.0,4.748169898986816,0.0,0.0,
2016-06-09,574.6300048828125,14.398599624633789,1.0,0.0,0.005787559784948826,0.0,0.0,4.693120002746582,0.0,0.0,
2016-06-10,577.469970703125,13.908599853515625,1.0,0.0,0.005736109800636768,0.0,0.0,4.840000152587891,0.0,0.0,
2016-06-11,606.7269897460938,14.19159984588623,1.0,0.0,0.005765929818153381,0.0,0.0,5.013979911804199,0.0,0.0,
2016-06-12,672.7839965820312,15.74370002746582,1.0,0.0,0.005852019879966974,0.0,0.0,5.333580017089844,0.0,0.0,
2016-06-13,704.3759765625,17.602699279785156,1.0,0.0,0.005823909770697355,0.0,0.0,5.290319919586182,0.0,0.0,
2016-06-14,685.5590209960938,18.893199920654297,1.0,0.0,0.0071051898412406445,0.0,0.0,5.204020023345947,0.0,0.0,
2016-06-15,694.468994140625,18.354299545288086,1.0,0.0,0.006886700168251991,0.0,0.0,5.239779949188232,0.0,0.0,
2016-06-16,766.3079833984375,20.588600158691406,0.9999989867210388,0.0,0.0066761900670826435,0.0,0.0,5.660789966583252,0.0,0.0,
2016-06-17,748.9089965820312,15.376799583435059,0.9999989867210388,0.0,0.006693220231682062,0.0,0.0,5.5932698249816895,0.0,0.0,
2016-06-18,756.2269897460938,11.330699920654297,0.9999989867210388,0.0,0.006604020018130541,0.0,0.0,5.55994987487793,0.0,0.0,
2016-06-19,763.781005859375,12.234199523925781,0.9999989867210388,0.0,0.006812519859522581,0.0,0.0,5.593780040740967,0.0,0.0,
2016-06-20,737.2260131835938,11.839500427246094,1.0,0.0,0.0066260299645364285,0.0,0.0,5.294539928436279,0.0,0.0,
2016-06-21,666.6519775390625,13.306699752807617,1.0,0.0,0.006171740125864744,0.0,0.0,4.821750164031982,0.0,0.0,
2016-06-22,596.1160278320312,13.095100402832031,1.0,0.0,0.0064947898499667645,0.0,0.0,3.9107000827789307,0.0,0.0,
2016-06-23,623.9769897460938,13.676199913024902,1.0,0.0,0.006380539853125811,0.0,0.0,3.8505098819732666,0.0,0.0,
2016-06-24,665.2990112304688,14.332099914550781,1.0000100135803223,0.0,0.006433719769120216,0.0,0.0,4.279099941253662,0.0,0.0,
2016-06-25,665.1229858398438,14.282999992370605,1.0000100135803223,0.0,0.006413590162992477,0.0,0.0,4.233069896697998,0.0,0.0,
2016-06-26,629.3670043945312,13.850199699401855,1.0000100135803223,0.0,0.006399950012564659,0.0,0.0,4.074309825897217,0.0,0.0,
2016-06-27,655.2750244140625,13.883899688720703,0.9999510049819946,0.0,0.006398490164428949,0.0,0.0,4.119850158691406,0.0,0.0,
2016-06-28,647.0009765625,12.175600051879883,1.0,0.0,0.006772669963538647,0.0,0.0,4.1006598472595215,0.0,0.0,
2016-06-29,639.8900146484375,12.611200332641602,1.0,0.0,0.006777190137654543,0.0,0.0,4.061880111694336,0.0,0.0,
2016-06-30,673.3369750976562,12.46150016784668,1.0,0.0,0.00665713008493185,0.0,0.0,4.19350004196167,0.0,0.0,
2016-07-01,676.2960205078125,12.19950008392334,1.0,0.0,0.006786730140447617,0.0,0.0,4.255970001220703,0.0,0.0,
2016-07-02,703.7020263671875,12.128399848937988,1.0,0.0,0.00669925007969141,0.0,0.0,4.5899200439453125,0.0,0.0,
2016-07-03,658.6640014648438,11.720199584960938,1.0,0.0,0.006607459858059883,0.0,0.0,4.253290176391602,0.0,0.0,
